Elève,Choix 1,Langue (si choix proposé),Individuel ou en duo,Choix 1 en duo avec Nom Prénom (si case cochée précédemment),Choix 2,Langue (si choix proposé).1,Individuel ou en duo.1,Choix 2 en duo avec Nom Prénom (si case cochée précédemment),Choix 3,Langue (si choix proposé).2,Individuel ou en duo.2,Choix 3 en duo avec Nom Prénom (si case cochée précédemment), 
86,TM11,Français,Duo,14,TM05,Français,Individuel,,TM34,Français,Duo,14,
87,TM30,Français,Individuel,,TM19,Français,Individuel,,TM02,Français,Individuel, ,
88,TM31,Français,Individuel,,TM10,Français,Duo,33.0,TM34,Français,Individuel, ,
89,TM35,Français,Individuel,,TM08,Français,Individuel,,TM02,Français,Individuel, ,
90,TM07,Anglais,Individuel,,TM13,0,Individuel,,TM04,0,Individuel, ,
91,TM07,Français,Duo,261,TM04,Français,Duo,119.0,TM11,Français,Duo,119,
92,TM09,Français,Individuel,,0,0,0,,0,0,0, ,
93,TM24,0,Individuel,,0,0,0,,0,0,0, ,
94,TM02,Français,Individuel,,0,0,0,,0,0,0, ,
95,TM17,Français,Individuel,,0,0,0,,0,0,0, ,
96,TM10,Français,Individuel,,0,0,0,,0,0,0, ,
97,TM31,Français,Individuel,,0,0,0,,0,0,0, ,
98,TM12,Français,Individuel,,0,0,0,,0,0,0, ,
99,TM07,Français,Individuel,,0,0,0,,0,0,0, ,
100,TM04,Français,Duo,136,TM11,Français,Individuel,,TM10,Français,Duo,179,
101,0,0,0,,0,0,0,,0,0,0, ,
102,TM08,Français,Duo,73,TM13,0,Individuel,,TM25,0,Individuel, ,
103,TM11,Français,Individuel,,0,0,0,,0,0,0, ,
104,TM10,Français,Individuel,,0,0,0,,0,0,0, ,
105,TM10,Français,Individuel,,0,0,0,,0,0,0, ,
106,TM23,Français,Duo,39,TM17,Français,Duo,39.0,TM18,Français,Duo,39,
107,TM11,Français,Individuel,,0,0,0,,0,0,0, ,
108,TM08,Français,Individuel,,0,0,0,,0,0,0, ,
109,TM35,Français,Individuel,,0,0,0,,0,0,0, ,
110,0,0,0,,0,0,0,,0,0,0, ,
111,TM08,Français,Individuel,,0,0,0,,0,0,0, ,
112,TM35,Français,Individuel,,0,0,0,,0,0,0, ,
113,TM03,0,Individuel,,0,0,0,,0,0,0, ,
114,TM11,Français,Duo,139,TM33,Français,Duo,139.0,TM01,Français,Individuel, ,
115,TM07,Français,Duo,60,TM10,Français,Duo,60.0,TM11,Français,Duo,60,
116,TM07,Anglais,Individuel,,TM04,Français,Individuel,,TM34,Français,Individuel, ,
117,TM07,Français,Duo,280,TM04,0,Duo,280.0,TM11,0,Duo,280,
118,TM35,Français,Individuel,,TM10,Français,Individuel,,TM34,Français,Duo,278,
119,TM07,Français,Duo,33,TM04,Français,Duo,91.0,TM11,Français,Duo,91,
120,TM10,Français,Individuel,,0,0,0,,0,0,0, ,
121,TM08,Français,Individuel,,0,0,0,,0,0,0, ,
122,TM03,0,Individuel,,0,0,0,,0,0,0, ,
123,TM32,Français,Individuel,,TM23,Français,Duo,149.0,TM21,Français,Individuel, ,
124,TM01,Français,Individuel,,TM19,Français,Individuel,,TM07,Français,Individuel, ,
125,TM12,0,Individuel,,TM11,0,Individuel,,TM02,0,Individuel, ,
126,0,0,0,,0,0,0,,0,0,0, ,
127,TM10,Espagnol,Individuel,,0,0,0,,0,0,0, ,
128,TM10,Français,Individuel,,0,0,0,,0,0,0, ,
129,0,0,0,,0,0,0,,0,0,0, ,
130,TM11,Français,Individuel,,0,0,0,,0,0,0, ,
131,TM34,Français,Individuel,,0,0,0,,0,0,0, ,
132,TM04,Français,Individuel,,0,0,0,,0,0,0, ,
133,0,0,0,,0,0,0,,0,0,0, ,
134,TM04,0,Individuel,,0,0,0,,0,0,0, ,
135,TM35,Français,Individuel,,0,0,0,,0,0,0, ,
136,TM04,Français,Duo,100,TM01,Français,Individuel,,TM11,Français,Individuel, ,
137,TM31,0,Individuel,,TM08,Français,Individuel,,TM06,0,Individuel, ,
138,0,0,0,,0,0,0,,0,0,0, ,
139,TM11,0,Duo,114,TM33,0,Duo,114.0,TM07,Français,Individuel, ,
140,TM11,Français,Individuel,,0,0,0,,0,0,0, ,
141,TM10,Français,Individuel,,0,0,0,,0,0,0, ,
142,TM18,Anglais,Individuel,,0,0,0,,0,0,0, ,
143,TM07,Français,Individuel,,0,0,0,,0,0,0, ,
144,0,0,0,,0,0,0,,0,0,0, ,
145,TM35,Français,Duo,173,TM07,Français,Individuel,,TM01,Français,Individuel, ,
146,TM21,0,Individuel,,TM07,Français,Individuel,,TM12,0,Individuel, ,
147,TM07,Français,Duo,71,TM11,Français,Duo,71.0,TM10,Français,Individuel, ,
148,TM10,Français,Individuel,,TM33,0,Individuel,,TM03,0,Individuel, ,
149,TM23,0,Duo,123,TM32,Français,Individuel,,TM21,Français,Individuel, ,
150,0,0,0,,0,0,0,,0,0,0, ,
151,TM19,Français,Individuel,,TM07,Français,Individuel,,TM31,Français,Individuel, ,
152,0,0,0,,0,0,0,,0,0,0, ,
153,TM34,Français,Duo,85,TM04,Français,Duo,85.0,TM05,Français,Individuel, ,
154,TM22,Français,Individuel,,0,0,0,,0,0,0, ,
155,TM03,Anglais,Individuel,,0,0,0,,0,0,0, ,
156,TM10,Français,Individuel,,0,0,0,,0,0,0, ,
157,TM07,Français,Individuel,,0,0,0,,0,0,0, ,
158,TM34,Français,Individuel,,0,0,0,,0,0,0, ,
159,TM07,Français,Duo,24,TM33,0,Individuel,,TM13,0,Individuel, ,
160,TM07,Français,Duo,258,TM17,Français,Duo,258.0,TM31,Français,Duo,258,
161,TM10,Français,Duo,17,TM07,Français,Duo,17.0,TM11,Français,Duo,17,
162,TM16,Français,Individuel,,0,0,0,,0,0,0, ,
163,TM35,Allemand,Individuel,,0,0,0,,0,0,0, ,
164,TM05,Français,Individuel,,0,0,0,,0,0,0, ,
165,TM35,Français,Individuel,,0,0,0,,0,0,0, ,
166,TM35,0,Individuel,,0,0,0,,0,0,0, ,
167,TM34,Français,Individuel,,0,0,0,,0,0,0, ,
168,0,0,0,,0,0,0,,0,0,0, ,
169,TM07,Français,Duo,256,TM22,Français,Duo,256.0,TM04,Français,Duo,256,
170,TM13,Français,Individuel,,0,0,0,,0,0,0, ,
171,0,0,0,,0,0,0,,0,0,0, ,
172,TM35,Français,Individuel,,0,0,0,,0,0,0, ,
173,TM35,Français,Duo,145,TM11,Français,Individuel,,TM01,Français,Individuel, ,
174,TM08,Français,Individuel,,0,0,0,,0,0,0, ,
175,TM08,Français,Individuel,,0,0,0,,0,0,0, ,
176,TM10,Français,Duo,8,TM11,Français,Duo,8.0,TM22,Français,Duo,8,
177,TM35,Français,Individuel,,0,0,0,,0,0,0, ,
178,TM10,Français,Individuel,,0,0,0,,0,0,0, ,
179,TM07,Français,Individuel,,TM04,Français,Duo,180.0,TM10,Français,Duo,100,
180,TM04,Français,Duo,222 + 179,TM07,Français,Duo,222.0,TM34,Français,Duo,222,
181,TM13,Français,Individuel,,0,0,0,,0,0,0, ,
182,TM16,0,Individuel,,0,0,0,,0,0,0, ,
183,TM04,Français,Duo,248 + 48,TM34,Français,Duo,248.0,TM07,Français,Duo,248,
184,TM02,0,Individuel,,0,0,0,,0,0,0, ,
185,0,0,0,,0,0,0,,0,0,0, ,
186,TM24,0,Individuel,,0,0,0,,0,0,0, ,
187,0,0,0,,0,0,0,,0,0,0, ,
188,TM23,Français,Individuel,,0,0,0,,0,0,0, ,
189,TM15,0,Individuel,,0,0,0,,0,0,0, ,
190,TM35,Français,Individuel,,0,0,0,,0,0,0, ,
191,0,0,0,,0,0,0,,0,0,0, ,
192,TM07,Français,Individuel,,0,0,0,,0,0,0, ,
193,TM12,Français,Individuel,,0,0,0,,0,0,0, ,
194,0,0,0,,0,0,0,,0,0,0, ,
195,TM10,Français,Individuel,,0,0,0,,0,0,0, ,
196,TM16,Français,Individuel,,0,0,0,,0,0,0, ,
197,TM34,0,Individuel,,0,0,0,,0,0,0, ,
198,TM18,Français,Individuel,,0,0,0,,0,0,0, ,
199,0,0,0,,0,0,0,,0,0,0, ,
200,0,0,0,,0,0,0,,0,0,0, ,
201,TM07,Français,Individuel,,0,0,0,,0,0,0, ,
202,0,0,0,,0,0,0,,0,0,0, ,
203,TM09,Français,Individuel,,0,0,0,,0,0,0, ,
204,0,0,0,,0,0,0,,0,0,0, ,
205,TM11,0,Individuel,,0,0,0,,0,0,0, ,
206,TM06,Français,Individuel,,0,0,0,,0,0,0, ,
207,TM01,Français,Individuel,,0,0,0,,0,0,0, ,
208,0,0,0,,0,0,0,,0,0,0, ,
209,0,0,0,,0,0,0,,0,0,0, ,
210,0,0,0,,0,0,0,,0,0,0, ,
211,TM35,Français,Individuel,,0,0,0,,0,0,0, ,
212,TM07,Français,Duo,46,TM23,Français,Duo,46.0,TM15,Français,Duo,46,
213,0,0,0,,0,0,0,,0,0,0, ,
214,TM10,Français,Individuel,,0,0,0,,0,0,0, ,
215,TM35,Français,Individuel,,0,0,0,,0,0,0, ,
216,TM35,Anglais,Individuel,,0,0,0,,0,0,0, ,
217,TM13,Français,Individuel,,0,0,0,,0,0,0, ,
218,TM10,Français,Individuel,,0,0,0,,0,0,0, ,
219,0,0,0,,0,0,0,,0,0,0, ,
220,TM34,Français,Individuel,,0,0,0,,0,0,0, ,
221,TM07,Français,Duo,5,TM11,Français,Duo,5.0,TM01,Français,Duo,5,
222,TM04,Français,Duo,180 + 179,TM07,Français,Duo,180.0,TM34,Français,Duo,180,
223,TM33,Français,Duo,229,TM13,Français,Individuel,,TM01,Français,Duo,229,
224,TM02,Français,Individuel,,0,0,0,,0,0,0, ,
225,TM34,Français,Individuel,,0,0,0,,0,0,0, ,
226,TM17,Français,Individuel,,0,0,0,,0,0,0, ,
227,TM16,Français,Duo,262,TM18,Français,Duo,262.0,TM08,Anglais,Individuel, ,
228,TM35,Allemand,Individuel,,0,0,0,,0,0,0, ,
229,TM33,Français,Duo,223,TM13,Français,Individuel,,TM01,Français,Duo,223,
230,TM11,Français,Individuel,,0,0,0,,0,0,0, ,
231,TM35,Français,Duo,22,TM04,Français,Duo,22.0,TM11,Français,Duo,22,
232,TM35,Français,Individuel,,0,0,0,,0,0,0, ,
233,0,0,0,,0,0,0,,0,0,0, ,
234,TM04,Français,Individuel,,0,0,0,,0,0,0, ,
235,TM16,Français,Individuel,,0,0,0,,0,0,0, ,
236,TM08,Français,Individuel,,0,0,0,,0,0,0, ,
237,TM10,Français,Individuel,,0,0,0,,0,0,0, ,
238,0,0,0,,0,0,0,,0,0,0, ,
239,TM10,Français,Individuel,,0,0,0,,0,0,0, ,
240,TM10,Français,Individuel,,0,0,0,,0,0,0, ,
241,TM08,Français,Individuel,,0,0,0,,0,0,0, ,
242,TM35,Français,Individuel,,0,0,0,,0,0,0, ,
243,TM34,0,Individuel,,0,0,0,,0,0,0, ,
244,TM30,Français,Individuel,,0,0,0,,0,0,0, ,
245,TM07,Anglais,Individuel,,0,0,0,,0,0,0, ,
246,TM22,Français,Individuel,,0,0,0,,0,0,0, ,
247,TM04,Français,Individuel,,0,0,0,,0,0,0, ,
248,TM04,Français,Duo,183 + 48,TM34,Français,Duo,183.0,TM07,Français,Duo,183,
249,TM08,Français,Individuel,,0,0,0,,0,0,0, ,
250,0,0,0,,0,0,0,,0,0,0, ,
251,TM04,Français,Duo,75,TM11,Français,Individuel,,TM10,Français,Individuel, ,
252,TM35,Français,Individuel,,0,0,0,,0,0,0, ,
253,TM08,Français,Individuel,,0,0,0,,0,0,0, ,
254,TM14,Allemand,Individuel,,0,0,0,,0,0,0, ,
255,TM34,Français,Individuel,,0,0,0,,0,0,0, ,
256,TM07,Français,Duo,169,TM22,Français,Duo,169.0,TM04,Français,Duo,169,
257,TM07,Français,Duo,11,TM23,Français,Duo,11.0,TM15,Français,Duo,11,
258,TM07,Français,Duo,160,TM17,Français,Duo,160.0,TM31,Français,Duo,160,
259,TM34,Français,Individuel,,0,0,0,,0,0,0, ,
260,TM13,Français,Individuel,,0,0,0,,0,0,0, ,
261,TM07,Français,Duo,91,TM01,0,Individuel,,TM11,0,Individuel, ,
262,TM16,Français,Duo,227,TM18,Français,Duo,227.0,TM17,Français,Individuel, ,
263,TM10,Français,Individuel,,0,0,0,,0,0,0, ,
264,TM07,Français,Duo,9,TM10,Français,Duo,9.0,TM11,Français,Duo,9,
265,TM04,Français,Individuel,,0,0,0,,0,0,0, ,
266,TM07,Français,Individuel,,0,0,0,,0,0,0, ,
267,TM02,0,Individuel,,0,0,0,,0,0,0, ,
268,TM08,Français,Individuel,,0,0,0,,0,0,0, ,
269,0,0,0,,0,0,0,,0,0,0, ,
270,TM35,Français,Individuel,,0,0,0,,0,0,0, ,
271,TM34,0,Individuel,,0,0,0,,0,0,0, ,
272,TM10,Français,Duo,25,TM34,Français,Duo,25.0,TM11,Français,Duo,25,
273,TM08,Français,Individuel,,0,0,0,,0,0,0, ,
274,0,0,0,,0,0,0,,0,0,0, ,
275,TM10,Français,Individuel,,0,0,0,,0,0,0, ,
276,TM12,Français,Individuel,,0,0,0,,0,0,0, ,
277,TM01,Français,Individuel,,0,0,0,,0,0,0, ,
278,TM09,Français,Individuel,,TM10,Français,Individuel,,TM34,Français,Duo,118,
279,TM07,Français,Duo,44,TM04,Français,Duo,44.0,TM10,Français,Duo,44,
280,TM07,Français,Duo,117,TM04,0,Duo,117.0,TM11,0,Duo,117,
281,TM16,0,Individuel,,TM21,0,Individuel,,TM03,0,Individuel, ,
